participant_id,n_trials,varvol_beta_softmax,varvol_log_lik,varvol_bic,varvol_n_params,varvol_success,varvol_n_evals,weber_beta_softmax,weber_lambdaa,weber_mu,weber_log_lik,weber_bic,weber_n_params,weber_success,weber_n_evals,delta_bic,better_model
adaptive_lab_534d2332,100,0.3837591936299098,-64.98118024610741,134.56753067820293,1,True,42,2.8037123154849177,1.1056399538158155,0.07706630135574682,-63.09284056042536,140.001191678815,3,True,61,-5.433661000612062,VarVol
adaptive_lab_57523f00,100,0.554013739942986,-66.42432467856773,137.45381954312356,1,True,42,0.9821403730818432,0.15413581872565818,0.2596313641685893,-63.984684555041426,141.78487966804713,3,True,69,-4.331060124923567,VarVol
adaptive_lab_62d173ea,100,0.1,-69.42602538416013,143.45722095430835,1,True,39,0.8374020133606446,0.5616452147571035,0.5241091399012662,-69.02363190536047,151.86277436868522,3,True,185,-8.405553414376868,VarVol
adaptive_lab_685a115e,100,0.1,-69.99189379688048,144.58895777974905,1,True,34,0.1,1.3264170947190725,0.8680254325465608,-69.31843222050043,152.45237499896513,3,True,57,-7.863417219216075,VarVol
adaptive_lab_6bfae065,100,0.1295521571824298,-69.03407710677206,142.67332439953222,1,True,40,1.5045876567464205,0.03648496285672209,0.7089009210443387,-66.57917168757191,146.9738539331081,3,True,80,-4.300529533575883,VarVol
adaptive_lab_6efcb881,100,2.4614191423973457,-34.99739086699451,74.5999519199771,1,True,27,2.0242069526665425,0.32549779903751697,0.008101313573300684,-25.54872187322154,64.91295430440736,3,True,249,9.686997615569737,Weber
adaptive_lab_7791e665,100,0.3480069690480627,-65.95628318030217,136.51773654659243,1,True,40,1.9611491880743699,1.1056399538158155,0.07706630135574682,-65.28063991974547,144.3767903974552,3,True,65,-7.859053850862779,VarVol
adaptive_lab_7ba35dc6,100,0.5985788456961051,-62.28282064291883,129.17081147182574,1,True,42,0.627942558122342,0.382156819436658,0.14894077360471092,-64.09525942714835,142.00602941226097,3,True,65,-12.835217940435228,VarVol
adaptive_lab_7ebadc2b,100,0.6319236585713526,-56.05479721538667,116.71476461676143,1,True,44,0.7720294657004093,0.2568064245728915,0.23193925608766147,-59.18008432454455,132.17567920705338,3,True,80,-15.46091459029195,VarVol
adaptive_lab_8003f702,100,0.6368161790796701,-64.28472539381036,133.17462097360882,1,True,44,3.154996681752185,0.29870026253406334,0.5440245607998885,-55.88395447641447,125.58341951079322,3,True,80,7.591201462815604,Weber
adaptive_lab_8b1d2fbe,100,2.874525049937141,-19.694466278379444,43.99410274274698,1,True,32,2.9703093546144217,0.0102427847965606,0.08495211738467467,-10.941860458462047,35.69923147488837,3,True,260,8.29487126785861,Weber
adaptive_lab_8eb0859e,100,0.6055529958512446,-55.197268903925384,114.99970799383885,1,True,46,3.246412634945273,0.29870026253406334,0.5440245607998885,-51.90668733050991,117.6288852189841,3,True,84,-2.6291772251452414,VarVol
adaptive_lab_9d4ed4c8,100,0.5842203848220188,-60.16562607183231,124.9364223296527,1,True,44,3.2840743487845794,0.29870026253406334,0.5440245607998885,-53.22154014608217,120.25859085012861,3,True,80,4.677831479524087,Weber
adaptive_lab_a474f8ac,100,2.1398150371650253,-41.90021935437012,88.40560889472833,1,True,29,1.8462230496041214,0.1521525111241584,0.05259245496963949,-36.06728585762658,85.95008227321743,3,True,189,2.4555266215108986,Weber
adaptive_lab_a55bffe3,100,0.8624974798565135,-56.58613177742321,117.77743374083451,1,True,35,1.7923788976514643,0.14188183399985532,0.3967838272138884,-54.07303271101747,121.96157597999921,3,True,58,-4.1841422391647,VarVol
adaptive_lab_aed15edd,100,0.3120064823452985,-66.27863490255498,137.16243999109807,1,True,40,0.9248479083013992,0.382156819436658,0.3683170954421492,-64.93125329533305,143.67801714863037,3,True,80,-6.515577157532306,VarVol
adaptive_lab_afa823e9,100,1.5370364313971643,-57.22222220868597,119.04961460336003,1,True,30,4.484508710286167,0.07519354641252174,0.4818166124663782,-38.778886211234095,91.37328298043246,3,True,110,27.676331622927563,Weber
adaptive_lab_baac83df,100,2.2919958648012395,-41.42474267508349,87.45465553615507,1,True,27,3.23981089471965,0.6377893231406488,0.11393697461511099,-33.48768422087709,80.79087899971846,3,True,140,6.663776536436615,Weber
adaptive_lab_c5b3641b,100,1.5076751196115756,-47.8364582358857,100.27808665775949,1,True,30,3.2301799566987928,0.20964015584682916,0.37697972785039635,-42.223893235150136,98.26329702826455,3,True,136,2.014789629494942,Weber
adaptive_lab_c88395a3,100,2.1251563031674943,-51.96296126911354,108.53109272421517,1,True,29,12.36247296276731,0.08635324544790224,0.714008925342581,-23.0243541343618,59.864218826687875,3,True,125,48.666873897527296,Weber
adaptive_lab_c973295f,100,1.2506180423674094,-53.81899151074325,112.24315320747459,1,True,30,2.6077979938199283,0.8388305520264057,0.1694910097275043,-54.56347957946887,122.94246971690201,3,True,54,-10.699316509427419,VarVol
adaptive_lab_cc508b71,100,0.7618182952305904,-57.696244635504044,119.99765945699617,1,True,42,1.7356457501285958,0.7771570234143796,0.1188747718631486,-54.885909175498554,123.58732890896138,3,True,73,-3.5896694519652073,VarVol
adaptive_lab_cd4434f6,100,0.7705495539565311,-57.63336533869644,119.87190086338097,1,True,42,1.9321418943338786,0.21217366755628675,0.3461675893495327,-49.63971708941982,113.09494473680391,3,True,99,6.776956126577062,Weber
adaptive_lab_ceb36f8b,100,0.36514296874362606,-66.93301022831251,138.47119064261312,1,True,38,0.9082928696136319,0.15413581872565818,0.2596313641685893,-63.251297350119714,140.3181052582037,3,True,69,-1.8469146155905776,VarVol
adaptive_lab_d3b198e4,100,1.9692146915009376,-31.990624777903474,68.58641974179504,1,True,29,15.0,0.031137031595126152,0.491247466972821,-0.7962469622340724,15.408004482432421,3,False,380,53.17841525936262,Weber
adaptive_lab_d3df5afa,100,1.3070885267150305,-64.17904752164063,132.96326522926935,1,True,28,1.737364781265147,1.1056399538158155,0.07706630135574682,-60.7577888376076,135.33108823317949,3,True,54,-2.3678230039101322,VarVol
adaptive_lab_d8fc8189,100,0.7542041490055309,-55.683430674615956,115.97203153522,1,True,42,1.761492314574709,0.7771570234143796,0.1188747718631486,-54.44115284193335,122.69781624183098,3,True,88,-6.72578470661098,VarVol
adaptive_lab_e97713f3,100,1.9241045706784297,-28.35295155528457,61.31107329655723,1,True,31,1.8744142474580725,0.11037913864430293,0.11336609357687838,-28.864130578560918,71.54377171508611,3,True,159,-10.232698418528877,VarVol
adaptive_lab_eef00ebf,100,1.1318327232865246,-48.60312076834618,101.81141172268045,1,True,37,1.0240977682739845,0.15413581872565818,0.2596313641685893,-57.38156368897232,128.57863793590892,3,True,73,-26.76722621322847,VarVol
adaptive_lab_ef0d7ba0,100,1.7442113331161644,-30.55658544959872,65.71834108518553,1,True,34,2.3676307456273995,0.5076142622270687,0.12275736969310924,-30.521112898750992,74.85773635546626,3,True,163,-9.13939527028073,VarVol
adaptive_lab_f2d405ab,100,0.9925748853518479,-53.84633099402129,112.29783217403066,1,True,33,3.0933699313472878,0.14188183399985532,0.3967838272138884,-46.96014112502111,107.7357928080065,3,True,91,4.562039366024166,Weber
adaptive_lab_f69d4496,100,1.6877344404757917,-34.783122356472674,74.17141489893343,1,True,34,1.7244556075175808,0.05758654286039455,0.22171105708887573,-36.045257292905426,85.90602514377512,3,True,189,-11.73461024484169,VarVol
